id_mascota,nombre,especie,raza,edad_años,peso_kg,fecha_consulta,dueño_nombre,dueño_email,motivo_consulta,costo_consulta,rango_edad
1,Firulais,perro,Labrador,3.0,28.5,2023-03-15,Juan Pérez,juan.perez@gmail.com,Control rutinario,22500.0,adulto
3,Mishi,gato,Siamés,,4.2,2023-04-15,,ana.gomez@hotmail.com,Vacunación,16200.0,desconocido
5,Pelusa,gato,Persa,2.0,3.8,2023-01-06,María Torres,pelusa@gmail.com,Desparasitación,13500.0,cachorro
7,Coco,perro,Chihuahua,1.0,2.1,2023-10-07,Roberto Lagos,coco@gmail.com,Primera consulta,18000.0,cachorro
8,Luna,gato,Angora,5.0,4.8,2023-07-22,Claudia Vega,luna.vega@gmail.com,Revisión dental,31500.0,adulto
9,Toby,perro,Golden Retriever,4.0,32.1,2023-08-22,Pedro Álvarez,toby@mail.cl,Control rutinario,22500.0,adulto
10,Nala,gato,Doméstico,,3.5,2023-05-09,Isabel Rojas,nala.rojas@gmail.com,Esterilización,72000.0,desconocido
11,Max,perro,Bulldog,6.0,28.9,2023-09-18,Fernando Soto,max.soto@gmail.com,Vacunación,16200.0,adulto
12,Whiskers,gato,Maine Coon,3.0,6.2,2023-09-30,Valentina Cruz,whiskers@gmail.com,Revisión general,22500.0,adulto
13,Bella,perro,Beagle,2.0,10.5,2023-12-10,Andrés Mora,bella.mora@gmail.com,Desparasitación,13500.0,cachorro
14,Simba,gato,Bengalí,1.0,4.1,2023-10-25,Carolina Díaz,simba@mail.cl,Vacunación,16200.0,cachorro
15,Rocky,perro,Boxer,5.0,30.2,2023-08-11,Diego Herrera,rocky@gmail.com,Control cardíaco,40500.0,adulto
16,Michi,gato,Doméstico,8.0,4.9,2023-11-08,Patricia Flores,michi.flores@hotmail.com,Revisión general,22500.0,adulto
17,Zeus,perro,Rottweiler,,45.3,2023-11-20,Gonzalo Reyes,zeus@gmail.com,Control rutinario,22500.0,desconocido
18,Pelusa,gato,Persa,2.0,3.8,2023-11-28,María Torres,pelusa@gmail.com,Control post-cirugía,27000.0,cachorro
19,Kira,perro,Husky,3.0,22.7,2023-05-12,Sofía Martínez,kira@gmail.com,Vacunación,16200.0,adulto
21,Lola,perro,Caniche,4.0,5.2,2023-12-18,Camila Ortiz,lola.ortiz@gmail.com,Revisión dental,31500.0,adulto
22,Nemo,pez,Payaso,,0.05,2024-08-01,Ricardo Pinto,nemo@gmail.com,Revisión general,13500.0,desconocido
23,Manchas,gato,Doméstico,6.0,4.3,2024-01-08,Elena Vargas,manchas@mail.cl,Desparasitación,13500.0,adulto
24,Bruno,perro,Labrador,9.0,33.8,2024-01-22,Tomás Ibáñez,bruno@gmail.com,Control geriátrico,36000.0,senior
25,Mia,gato,Siamés,,3.9,2024-05-02,Natalia Sánchez,mia.sanchez@gmail.com,Esterilización,72000.0,desconocido
26,Thor,perro,San Bernardo,2.0,68.5,2024-02-14,Héctor Vidal,thor@gmail.com,Control rutinario,22500.0,cachorro
27,Kitty,gato,Angora,4.0,4.0,2024-02-28,Lorena Muñoz,kitty@hotmail.com,Vacunación,16200.0,adulto
28,Pancho,perro,Mestizo,7.0,18.3,2024-02-28,Sebastián López,pancho@gmail.com,Revisión general,22500.0,adulto
29,Mia,gato,Siamés,,3.9,2024-10-03,Natalia Sánchez,mia.sanchez@gmail.com,Control post-cirugía,27000.0,desconocido
30,Cleo,perro,Dálmata,3.0,24.6,2024-03-18,Gabriela Núñez,cleo@gmail.com,Desparasitación,13500.0,adulto
31,Oscar,gato,Doméstico,11.0,5.7,2024-01-04,Marcelo Fuentes,oscar@gmail.com,Control geriátrico,36000.0,senior
32,Lassy,perro,Collie,6.0,28.1,2024-10-04,Daniela Campos,lassy@gmail.com,Control rutinario,22500.0,adulto
34,Buba,perro,Pitbull,,22.4,2024-04-15,Alejandro Ríos,buba@gmail.com,Revisión general,22500.0,desconocido
35,Salem,gato,Doméstico,7.0,4.2,2024-04-28,Francisca León,salem@gmail.com,Revisión dental,31500.0,adulto
36,Duque,perro,Doberman,4.0,34.9,2024-05-05,Matías Urrea,duque@gmail.com,Control rutinario,22500.0,adulto
37,Mimi,gato,Doméstico,2.0,3.1,2024-05-18,Catalina Peña,mimi@hotmail.com,Esterilización,72000.0,cachorro
38,Bolt,perro,Dálmata,1.0,20.8,2024-05-22,Nicolás Castro,bolt@gmail.com,Primera consulta,18000.0,cachorro
39,Cleo,perro,Dálmata,3.0,24.6,2024-05-30,Gabriela Núñez,cleo@gmail.com,Control rutinario,22500.0,adulto
40,Mufasa,gato,Maine Coon,5.0,7.3,2024-05-30,Victoria Rojas,mufasa@gmail.com,Revisión general,22500.0,adulto
42,Luna,gato,Angora,5.0,4.8,2024-12-06,Claudia Vega,luna.vega@gmail.com,Revisión dental,31500.0,adulto
43,Toto,perro,Schnauzer,3.0,8.9,2024-06-20,Ignacio Álvarez,toto@gmail.com,Desparasitación,13500.0,adulto
44,Missy,gato,Persa,6.0,4.4,2024-06-28,Renata Molina,missy@gmail.com,Control rutinario,22500.0,adulto
46,Paco,loro,Cotorra,,0.15,2024-10-07,Eduardo Torres,paco@gmail.com,Revisión general,18000.0,desconocido
47,Canela,perro,Cocker Spaniel,4.0,13.7,2024-07-10,Paulina Romero,canela@mail.cl,Vacunación,16200.0,adulto
48,Gohan,perro,Labrador,2.0,29.3,2024-07-22,Cristóbal Vera,gohan@gmail.com,Control rutinario,22500.0,cachorro
49,Nala,gato,Doméstico,,3.5,2024-07-30,Isabel Rojas,nala.rojas@gmail.com,Control post-op,27000.0,desconocido
50,Chispas,perro,Chihuahua,8.0,2.8,2024-08-08,Amanda Jiménez,chispas@gmail.com,Control geriátrico,36000.0,adulto
